157	textne	f	16	f	0	2	0	t	i	25 25			
158	int24eq	f	16	f	0	2	0	t	i	21 23			
159	int42eq	f	16	f	0	2	0	t	i	23 21			
160	int24lt	f	16	f	0	2	0	t	i	21 23			
161	int42lt	f	16	f	0	2	0	t	i	23 21			
162	int24gt	f	16	f	0	2	0	t	i	21 23			
163	int42gt	f	16	f	0	2	0	t	i	23 21			
164	int24ne	f	16	f	0	2	0	t	i	21 23			
165	int42ne	f	16	f	0	2	0	t	i	23 21			
166	int24le	f	16	f	0	2	0	t	i	21 23			
167	int42le	f	16	f	0	2	0	t	i	23 21			
168	int24ge	f	16	f	0	2	0	t	i	21 23			
169	int42ge	f	16	f	0	2	0	t	i	23 21			
170	int24mul	f	23	f	0	2	0	t	i	21 23			
171	int42mul	f	23	f	0	2	0	t	i	23 21			
172	int24div	f	23	f	0	2	0	t	i	21 23			
173	int42div	f	23	f	0	2	0	t	i	23 21			
176	int2pl	f	21	f	0	2	0	t	i	21 21			
177	int4pl	f	23	f	0	2	0	t	i	23 23			
178	int24pl	f	23	f	0	2	0	t	i	21 23			
179	int42pl	f	23	f	0	2	0	t	i	23 21			
180	int2mi	f	21	f	0	2	0	t	i	21 21			
181	int4mi	f	23	f	0	2	0	t	i	23 23			
182	int24mi	f	23	f	0	2	0	t	i	21 23			
183	int42mi	f	23	f	0	2	0	t	i	23 21			
184	oideq	f	16	f	0	2	0	t	i	26 26			
185	oidne	f	16	f	0	2	0	t	i	26 26			
186	box_same	f	16	f	0	2	0	t	i	603 603			
187	box_contain	f	16	f	0	2	0	t	i	603 603			
188	box_left	f	16	f	0	2	0	t	i	603 603			
189	box_overleft	f	16	f	0	2	0	t	i	603 603			
190	box_overright	f	16	f	0	2	0	t	i	603 603			
191	box_right	f	16	f	0	2	0	t	i	603 603			
192	box_contained	f	16	f	0	2	0	t	i	603 603			
193	box_contain_pt	f	16	f	0	2	0	t	i	603 600			
195	pg_node_tree_in	f	194	f	0	1	0	t	i	2275			
196	pg_node_tree_out	f	2275	f	0	1	0	t	i	194			
197	pg_node_tree_recv	f	194	f	0	1	0	t	s	2281			
198	pg_node_tree_send	f	17	f	0	1	0	t	s	194			
200	float4in	f	700	f	0	1	0	t	i	2275			
201	float4out	f	2275	f	0	1	0	t	i	700			
202	float4mul	f	700	f	0	2	0	t	i	700 700			
203	float4div	f	700	f	0	2	0	t	i	700 700			
204	float4pl	f	700	f	0	2	0	t	i	700 700			
205	float4mi	f	700	f	0	2	0	t	i	700 700			
206	float4um	f	700	f	0	1	0	t	i	700			
207	float4abs	f	700	f	0	1	0	t	i	700			
208	float4_accum	f	1022	f	0	2	0	t	i	1022 700			
209	float4larger	f	700	f	0	2	0	t	i	700 700			
211	float4smaller	f	700	f	0	2	0	t	i	700 700			
212	int4um	f	23	f	0	1	0	t	i	23			
213	int2um	f	21	f	0	1	0	t	i	21			
214	float8in	f	701	f	0	1	0	t	i	2275			
215	float8out	f	2275	f	0	1	0	t	i	701			
216	float8mul	f	701	f	0	2	0	t	i	701 701			
217	float8div	f	701	f	0	2	0	t	i	701 701			
218	float8pl	f	701	f	0	2	0	t	i	701 701			
219	float8mi	f	701	f	0	2	0	t	i	701 701			
220	float8um	f	701	f	0	1	0	t	i	701			
221	float8abs	f	701	f	0	1	0	t	i	701			
222	float8_accum	f	1022	f	0	2	0	t	i	1022 701			
223	float8larger	f	701	f	0	2	0	t	i	701 701			
224	float8smaller	f	701	f	0	2	0	t	i	701 701			
225	lseg_center	f	600	f	0	1	0	t	i	601			
227	poly_center	f	600	f	0	1	0	t	i	604			
228	dround	f	701	f	0	1	0	t	i	701			
229	dtrunc	f	701	f	0	1	0	t	i	701			
230	dsqrt	f	701	f	0	1	0	t	i	701			
231	dcbrt	f	701	f	0	1	0	t	i	701			
232	dpow	f	701	f	0	2	0	t	i	701 701			
233	dexp	f	701	f	0	1	0	t	i	701			
234	dlog1	f	701	f	0	1	0	t	i	701			
235	float8	f	701	f	0	1	0	t	i	21			
236	float4	f	700	f	0	1	0	t	i	21			
237	int2	f	21	f	0	1	0	t	i	701			
238	int2	f	21	f	0	1	0	t	i	700			
239	line_distance	f	701	f	0	2	0	t	i	628 628			
240	nameeqtext	f	16	f	0	2	0	t	i	19 25			
241	namelttext	f	16	f	0	2	0	t	i	19 25			
242	nameletext	f	16	f	0	2	0	t	i	19 25			
243	namegetext	f	16	f	0	2	0	t	i	19 25			
244	namegttext	f	16	f	0	2	0	t	i	19 25			
245	namenetext	f	16	f	0	2	0	t	i	19 25			
246	btnametextcmp	f	23	f	0	2	0	t	i	19 25			
247	texteqname	f	16	f	0	2	0	t	i	25 19			
248	textltname	f	16	f	0	2	0	t	i	25 19			
249	textlename	f	16	f	0	2	0	t	i	25 19			
250	textgename	f	16	f	0	2	0	t	i	25 19			
251	textgtname	f	16	f	0	2	0	t	i	25 19			
252	textnename	f	16	f	0	2	0	t	i	25 19			
253	bttextnamecmp	f	23	f	0	2	0	t	i	25 19			
266	nameconcatoid	f	19	f	0	2	0	t	i	19 26			
267	table_am_handler_in	f	269	f	0	1	0	f	i	2275			
268	table_am_handler_out	f	2275	f	0	1	0	t	i	269			
274	timeofday	f	25	f	0	0	0	t	v				
275	pg_nextoid	f	26	f	0	3	0	t	v	2205 19 2205			
276	float8_combine	f	1022	f	0	2	0	t	i	1022 1022			
277	inter_sl	f	16	f	0	2	0	t	i	601 628			
278	inter_lb	f	16	f	0	2	0	t	i	628 603			
279	float48mul	f	701	f	0	2	0	t	i	700 701			
280	float48div	f	701	f	0	2	0	t	i	700 701			
281	float48pl	f	701	f	0	2	0	t	i	700 701			
282	float48mi	f	701	f	0	2	0	t	i	700 701			
283	float84mul	f	701	f	0	2	0	t	i	701 700			
284	float84div	f	701	f	0	2	0	t	i	701 700			
285	float84pl	f	701	f	0	2	0	t	i	701 700			
286	float84mi	f	701	f	0	2	0	t	i	701 700			
287	float4eq	f	16	f	0	2	0	t	i	700 700			
288	float4ne	f	16	f	0	2	0	t	i	700 700			
289	float4lt	f	16	f	0	2	0	t	i	700 700			
290	float4le	f	16	f	0	2	0	t	i	700 700			
291	float4gt	f	16	f	0	2	0	t	i	700 700			
292	float4ge	f	16	f	0	2	0	t	i	700 700			
293	float8eq	f	16	f	0	2	0	t	i	701 701			
294	float8ne	f	16	f	0	2	0	t	i	701 701			
295	float8lt	f	16	f	0	2	0	t	i	701 701			
296	float8le	f	16	f	0	2	0	t	i	701 701			
297	float8gt	f	16	f	0	2	0	t	i	701 701			
298	float8ge	f	16	f	0	2	0	t	i	701 701			
299	float48eq	f	16	f	0	2	0	t	i	700 701			
300	float48ne	f	16	f	0	2	0	t	i	700 701			
301	float48lt	f	16	f	0	2	0	t	i	700 701			
302	float48le	f	16	f	0	2	0	t	i	700 701			
303	float48gt	f	16	f	0	2	0	t	i	700 701			
304	float48ge	f	16	f	0	2	0	t	i	700 701			
305	float84eq	f	16	f	0	2	0	t	i	701 700			
306	float84ne	f	16	f	0	2	0	t	i	701 700			
307	float84lt	f	16	f	0	2	0	t	i	701 700			
308	float84le	f	16	f	0	2	0	t	i	701 700			
309	float84gt	f	16	f	0	2	0	t	i	701 700			
310	float84ge	f	16	f	0	2	0	t	i	701 700			
311	float8	f	701	f	0	1	0	t	i	700			
312	float4	f	700	f	0	1	0	t	i	701			
313	int4	f	23	f	0	1	0	t	i	21			
314	int2	f	21	f	0	1	0	t	i	23			
315	pg_jit_available	f	16	f	0	0	0	t	v				
316	float8	f	701	f	0	1	0	t	i	23			
317	int4	f	23	f	0	1	0	t	i	701			
318	float4	f	700	f	0	1	0	t	i	23			
319	int4	f	23	f	0	1	0	t	i	700			
320	width_bucket	f	23	f	0	4	0	t	i	701 701 701 23			
321	json_in	f	114	f	0	1	0	t	i	2275			
322	json_out	f	2275	f	0	1	0	t	i	114			
323	json_recv	f	114	f	0	1	0	t	i	2281			
324	json_send	f	17	f	0	1	0	t	i	114			
326	index_am_handler_in	f	325	f	0	1	0	f	i	2275			
