10000	20	21	714	a	f
10001	20	23	480	a	f
10002	20	700	652	i	f
10003	20	701	482	i	f
10004	20	1700	1781	i	f
10005	21	20	754	i	f
10006	21	23	313	i	f
10007	21	700	236	i	f
10008	21	701	235	i	f
10009	21	1700	1782	i	f
10010	23	20	481	i	f
10011	23	21	314	a	f
10012	23	700	318	i	f
10013	23	701	316	i	f
10014	23	1700	1740	i	f
10015	700	20	653	a	f
10016	700	21	238	a	f
10017	700	23	319	a	f
10018	700	701	311	i	f
10019	700	1700	1742	a	f
10020	701	20	483	a	f
10021	701	21	237	a	f
10022	701	23	317	a	f
10023	701	700	312	a	f
10024	701	1700	1743	a	f
10025	1700	20	1779	a	f
10026	1700	21	1783	a	f
10027	1700	23	1744	a	f
10028	1700	700	1745	i	f
10029	1700	701	1746	i	f
10030	790	1700	3823	a	f
10031	1700	790	3824	a	f
10032	23	790	3811	a	f
10033	20	790	3812	a	f
10034	23	16	2557	e	f
10035	16	23	2558	e	f
10036	5069	28	5071	e	f
10037	20	26	1287	i	f
10038	21	26	313	i	f
10039	23	26	0	i	b
10040	26	20	1288	a	f
10041	26	23	0	a	b
10042	26	24	0	i	b
10043	24	26	0	i	b
10044	20	24	1287	i	f
10045	21	24	313	i	f
10046	23	24	0	i	b
10047	24	20	1288	a	f
10048	24	23	0	a	b
10049	24	2202	0	i	b
10050	2202	24	0	i	b
10051	26	2202	0	i	b
10052	2202	26	0	i	b
10053	20	2202	1287	i	f
10054	21	2202	313	i	f
10055	23	2202	0	i	b
10056	2202	20	1288	a	f
10057	2202	23	0	a	b
10058	26	2203	0	i	b
10059	2203	26	0	i	b
10060	20	2203	1287	i	f
10061	21	2203	313	i	f
10062	23	2203	0	i	b
10063	2203	20	1288	a	f
10064	2203	23	0	a	b
10065	2203	2204	0	i	b
10066	2204	2203	0	i	b
10067	26	2204	0	i	b
10068	2204	26	0	i	b
10069	20	2204	1287	i	f
10070	21	2204	313	i	f
10071	23	2204	0	i	b
10072	2204	20	1288	a	f
10073	2204	23	0	a	b
10074	26	2205	0	i	b
10075	2205	26	0	i	b
10076	20	2205	1287	i	f
10077	21	2205	313	i	f
10078	23	2205	0	i	b
10079	2205	20	1288	a	f
10080	2205	23	0	a	b
10081	26	4191	0	i	b
10082	4191	26	0	i	b
10083	20	4191	1287	i	f
10084	21	4191	313	i	f
10085	23	4191	0	i	b
10086	4191	20	1288	a	f
10087	4191	23	0	a	b
10088	26	2206	0	i	b
10089	2206	26	0	i	b
10090	20	2206	1287	i	f
10091	21	2206	313	i	f
10092	23	2206	0	i	b
10093	2206	20	1288	a	f
10094	2206	23	0	a	b
10095	26	3734	0	i	b
10096	3734	26	0	i	b
10097	20	3734	1287	i	f
10098	21	3734	313	i	f
