17019	16386	16390	17012	e	f
17020	16386	16402	17015	e	f
17021	16386	16394	17013	e	f
17022	16386	16406	17016	e	f
17023	16386	16398	17014	e	f
17024	16386	16410	17017	e	f
17025	16386	16414	17018	e	f
17026	16390	16386	0	a	b
17027	16402	16386	0	a	b
17028	16394	16386	0	a	b
17029	16406	16386	0	a	b
17030	16398	16386	0	a	b
17031	16410	16386	0	a	b
17032	16414	16386	0	a	b
17033	16402	16390	0	a	b
17034	16390	16402	0	a	b
17035	16406	16394	0	a	b
17036	16394	16406	0	a	b
17037	16410	16398	0	a	b
17038	16398	16410	0	a	b
