16407	<->	b	790	790	790	16406	16407	0	f	f	public
16409	<->	b	1082	1082	23	16408	16409	0	f	f	public
16411	<->	b	700	700	700	16410	16411	0	f	f	public
16413	<->	b	701	701	701	16412	16413	0	f	f	public
16415	<->	b	21	21	21	16414	16415	0	f	f	public
16417	<->	b	23	23	23	16416	16417	0	f	f	public
16419	<->	b	20	20	20	16418	16419	0	f	f	public
16421	<->	b	1186	1186	1186	16420	16421	0	f	f	public
16423	<->	b	26	26	26	16422	16423	0	f	f	public
16425	<->	b	1083	1083	1186	16424	16425	0	f	f	public
16427	<->	b	1114	1114	1186	16426	16427	0	f	f	public
16429	<->	b	1184	1184	1186	16428	16429	0	f	f	public
