2050	n	0	2277
2051	n	0	2277
2100	n	0	2281
2101	n	0	1016
2102	n	0	1016
2103	n	0	2281
2104	n	0	1022
2105	n	0	1022
2106	n	0	2281
2107	n	0	2281
2108	n	0	20
2109	n	0	20
2110	n	0	700
2111	n	0	701
2112	n	0	790
2113	n	0	2281
2114	n	0	2281
2115	n	0	20
2116	n	0	23
2117	n	0	21
2118	n	0	26
2119	n	0	700
2120	n	0	701
2122	n	0	1082
2123	n	0	1083
2124	n	0	1266
2125	n	0	790
2126	n	0	1114
2127	n	0	1184
2128	n	0	1186
2129	n	0	25
2130	n	0	1700
2131	n	0	20
2132	n	0	23
2133	n	0	21
2134	n	0	26
2135	n	0	700
2136	n	0	701
2138	n	0	1082
2139	n	0	1083
2140	n	0	1266
2141	n	0	790
2142	n	0	1114
2143	n	0	1184
2144	n	0	1186
2145	n	0	25
2146	n	0	1700
2147	n	0	20
2148	n	0	2281
2149	n	0	2281
2150	n	0	2281
2151	n	0	1022
2152	n	0	1022
2153	n	0	2281
2154	n	0	2281
2155	n	0	2281
2156	n	0	2281
2157	n	0	1022
2158	n	0	1022
2159	n	0	2281
2236	n	0	21
2237	n	0	21
2238	n	0	23
2239	n	0	23
2240	n	0	20
2241	n	0	20
2242	n	0	1560
2243	n	0	1560
2244	n	0	1042
2245	n	0	1042
2335	n	0	2281
2517	n	0	16
2518	n	0	16
2519	n	0	16
2641	n	0	2281
2642	n	0	2281
2643	n	0	2281
2644	n	0	1022
2645	n	0	1022
2646	n	0	2281
2712	n	0	2281
2713	n	0	2281
2714	n	0	2281
2715	n	0	1022
2716	n	0	1022
2717	n	0	2281
2718	n	0	2281
2719	n	0	2281
2720	n	0	2281
2721	n	0	1022
2722	n	0	1022
2723	n	0	2281
2724	n	0	2281
2725	n	0	2281
2726	n	0	2281
2727	n	0	1022
2728	n	0	1022
2729	n	0	2281
2797	n	0	27
2798	n	0	27
2803	n	0	20
2818	n	0	20
2819	n	0	1022
2820	n	0	1022
2821	n	0	1022
2822	n	0	1022
2823	n	0	1022
2824	n	0	1022
2825	n	0	1022
2826	n	0	1022
2827	n	0	1022
2828	n	0	1022
2829	n	0	1022
2901	n	0	142
3175	n	0	2281
3197	n	0	2281
3267	n	0	2281
3270	n	0	2281
3526	n	0	3500
3527	n	0	3500
3538	n	0	2281
3545	n	0	2281
3564	n	0	869
3565	n	0	869
3972	o	1	2281
3974	o	1	2281
3976	o	1	2281
3978	o	1	2281
3980	o	1	2281
3982	o	1	2281
3984	o	0	2281
3986	h	1	2281
3988	h	1	2281
3990	h	1	2281
3992	h	1	2281
4053	n	0	2281
4189	n	0	3220
4190	n	0	3220
4301	n	0	2281
4389	n	0	4537
4450	n	0	3831
5099	n	0	5069
5100	n	0	5069
6164	n	0	21
6165	n	0	23
6166	n	0	20
6167	n	0	1560
6227	n	0	2281
6276	n	0	2281
6280	n	0	2281
6281	n	0	2281
6282	n	0	2281
6284	n	0	2281
6288	n	0	2281
6289	n	0	2281
6290	n	0	2281
6291	n	0	2283
6373	n	0	2249
6374	n	0	2249
6395	n	0	17
6396	n	0	17
